service_name,service_category
"Shampoo/Style, Designer Cut",Women's Haircut
"Fill, Spa Pedicure",Pedicure
Small Box Braids ( middle back ),Braids
"Color retouch, Toner",Hair Color
"Color root touch up, Womens Haircut add onto color or highlight service",Hair Color
"Color Retouch, Partial Highlights, Rapid Toner",Highlights
"Trim, Protein Treatment, Silk Press","Hair Treatments, Natural Hair"
"Shampoo and style, Spot relaxer &a style",Sets & Styles
"Toner, Add-on Haircut","Hair Color, Women's Haircut"
medium feed -in ponytail (short),Braids
"Nail fill, Root Touch Up",Hair Color
Full set/Gel polish,Manicure
"Scalp Treatment, Miscellaneous",Hair Treatments
After Hour Haircut (After 7PM Tues-Fri / After 5PM Sat),Men's Haircut
"Shellac manicure, Spa Pedicure","Manicure, Pedicure"
Volumes mixed w/ Classics,Eyelashes
Medium Waist Length Plaits,Braids
Basic Package,Barber
"Womens Haircut, Full Color, Eyebrow Wax",Eyebrows
D- Cornrow Up-do,"Braids, Extensions"
"Gel Manicure, Polished Toes","Manicure, Pedicure"
"Women's Cut, Partial HighLight with Full Color",Women's Haircut
(Jumbo)Box Braids,Braids
"Spa Pedicure, Gel Polish Manicure, IBX",Pedicure
"Undercut, Parts/ Simple Designs","Barber, Women's Haircut"
"All Over Color, Add a Haircut to Color Service","Hair Color, Women's Haircut"
Beard Scuplting (long & wide beards,"Barber, Men's Haircut"
"Silk Wrap, Dry Scalp Treatment (Psoriasis)",Sets & Styles
"Up Do, Flat iron  (not a silk press)",Special Occasion Style
"Blowout + Silk Press, Trim as an add-on to additional service, Scalp Exfoliation Treatment, Travel Fee",Special Occasion Style
"Color with olaplex, Womens Haircut","Hair Color, Women's Haircut"
"All over color, shampoo/condition, cut, and style",Hair Color
Beauty and Body Press,Chemical Perms
"protein treatment, Shampoo & Style/wrap",Hair Treatments
"Brazilian/Playboy, Brows/Lip/Chin/Nose, Brow tint",Eyebrows
"Bridal Makeup, Traveling Fee",Special Occasion Makeup
"Shellac Manicures, Spa pedicure",Pedicure
"All over color, Long Hair Cut with Blow Out, Partial Highlights","Hair Color, Highlights"
Gel Polish Change (Toes),Pedicure
Bond install,Extensions
"Pedicure - Mini, Manicure - Gel Polish, Eyebrow Wax",Eyebrows
"Extensions, Full HL",Extensions
"Gloss / Toner, Woman's Cut","Hair Color, Women's Haircut"
"Partial Foil Highlights, Single process/Grey coverage","Highlights, Hair Color"
"Color Correction, Women's Haircut Add On",Hair Color
Hot Shave,"Barber, Men's Haircut"
Platinum,Manicure
"Tint, Bang Trim",Women's Haircut
"Haircut, Color Retouch, Toner",Hair Color
"The Works(cut wax deep condition), All over color, Add 10 foils with all over color, 2 areas(facial wax), Color alarm carte, Color ala2, Olaplex! upgrade add to color service",Hair Color
"Ombre, Women's Medium Length Cut",Highlights
Refresh (shampoo & style),"Natural Hair, Style"
"shampoo/blowdry, style out only",Style
"Root Touch-up, Women's Cut, color glossing, Brow Wax","Hair Color, Women's Haircut, Eyebrows"
Fashion color (double process),Hair Color
Add on: Flat Iron for style,Style
"Block color, Women's cuts, Pedicure",Pedicure
Jumbo Feed in Pony,Braids
Lash Full Set,Eyelashes
Gentleman's Haircut (w/o facial hair),"Barber, Men's Haircut"
"Relaxer, Extension (SEW-IN)",Relaxers
"Partial Hi-Lites, Women, Extra Color",Highlights
"Men's Cut, Children Cut (12 & under)",Men's Haircut
"child's cut, Brow Wax",Eyebrows
"Full Sew In, 20"" Virgin Hair, 18"" Virgin Hair",Weaves
Strengthening and hydration Treatment,Hair Treatments
Balayage-Ombré,Highlights
"Basic Makeup Application, Quick Weave Install","Makeup, Weaves"
"Deep Conditioning Treatment, Comb Twist","Hair Treatments, Twists"
Toe trim,Pedicure
"Women's Cut, Foil Highlights","Women's Haircut, Highlights"
Formal updo,Style
"Half Face, Strip Lashes","Makeup, Eyelashes"
"Men's Cut, Eyebrow wax","Men's Haircut, Eyebrows"
"Shampoo/ Style (natural hair), Steam Hydration Treatment, Women's Trim","Sets & Styles, Hair Treatments, Women's Haircut"
"Fills for long acrylic  nails, Gel Pedicure",Pedicure
Med/large box braids,Braids
Doc's Women Fade & Design,Barber
"Takedown, Deep Conditioning Treatment, Partial Set","Weaves, Hair Treatments, Extensions"
"Facial, LED Microcurrent add-on",Skincare
24k Midas Men's Specialty Cut,Men's Haircut
"Protein Treatment, Double Diva, Trim",Hair Treatments
"Deep Conditioning Treatment, Shampoo N Set, Trim",Hair Treatments
"Root Color Retouch, Toner Add-on",Hair Color
"Basic Sew in, Sew in takedown",Weaves
Takedown,"Braids, Locs, Weaves"
Specialty Set,Eyelashes
"Full Weave with Haircut/Style, Brow Wax",Eyebrows
"Babylights, Toner, Blowout","Highlights, Hair Color, Style"
Treatment Packages X3,Skincare
Classic Eyelash Extension Fill,Eyelashes
"Fill In Shape, Pedicure",Pedicure
"Take out shampoo blowdry, Flat iron",Style
"Shampoo and Style, Sew in Takedown",Sets & Styles
"Luxury Silk Press, Partial Highlights",Highlights
Full Head lift & deposit (Short),Hair Color
"Gel Fill in, Pedicure, gel polish over enhancements",Pedicure
"Women's Cut, Eye brow shaping, Lip/Chin","Women's Haircut, Eyebrows, Waxing"
"Full Foil Highlights, Women's Haircut & Style",Highlights
"Platinum retouch w/Olaplex, Nano Removal, Extra Bowl Bleach, Soap Cap, Keratriplex Treatment, Women’s Cut w/ Service","Extensions, Hair Color"
"Fill, Mini Pedicure, Nail Repair","Manicure, Pedicure"
Microdermabrasion,"Skincare, Waxing"
"Eyebrows, Lip","Eyebrows, Waxing"
"Women's Cut, Teenagers",Women's Haircut
"Balayage w/ Cut & Style, Toner",Hair Color
Poetic Justice Plaits(Smedium),Braids
Women's haircut  wet or dry,Women's Haircut
"Women's Cut, Full Color, Bleach",Women's Haircut
Haircut + Beard | Wash | Style,"Barber, Sets & Styles"
"Women's  Haircut, Deep Conditioning Treatment","Women's Haircut, Hair Treatments"
EXR BMP CARE | STANDARD HAIRCUT | RAZOR,Men's Haircut
"Partial Highlights, Haircut Add On a Color Service",Highlights
Blowout Relaxed Hair,Style
"Sew- In Take Down, Silk Press",Natural Hair
Halo braid,Braids
"Enhanced Custom Facial, Lip Wax",Waxing
"1 session butt-Enhancement l, Detox Sauna Treatment",Skincare
"Full Highlight with glaze, Women's Cut",Women's Haircut
Men’s lineup,Barber
"Dip Gel Manicure, Pedicure",Pedicure
Shampoo and  blow dry,Sets & Styles
Half up Half down,Hair Treatments
"Shampoo and Style, Double Process Color Hair Painting, Hair Cut By Hodge-Podge",Sets & Styles
"Acrylic Fill, Gel Top Coat, Toe Polish",Manicure
Retwist Dreads (100+,Locs
"Balayage, Haircut - Long Hair",Highlights
MINK EXTENSIONS,Eyelashes
"Root touch up, Extension move up",Hair Color
6 Feedin Cornrows,Braids
"Flat Iron, Cellophane, Extensions by Row (Sew In)",Style
"Protein Conditioning Treatment, Shampoo & Style","Hair Treatments, Style"
"Short style, Relaxer Retouch",Relaxers
"Brow & lip, Vita Brite",Skincare
"Retouch, Adjustment","Hair Color, Barber, Men's Haircut, Women's Haircut"
Traditional sew in,Style
Frontal Maintenance,"Massage, Weaves"
Young Men Hair Cut,Barber
"Full Color, Shampoo and Style",Sets & Styles
"Bounce/Silk Wrap, Hot Oil Treatment",Natural Hair
"Silk Press, Moisturizing  Treatment","Natural Hair, Hair Treatments"
"color touch up, Olaplex, Women's Cut",Women's Haircut
"precision cut, Shampoo/silk wrap/natural, ombre",Highlights
"Partial Highlight/Lowlights, Women's Cut",Women's Haircut
"lace closure sew in, wash before extension service",Weaves
"Mizani Relaxer, Women's Cut",Women's Haircut
XWrap Full Set,Eyelashes
"Gel Manicure- Intermediate Art, Spa Pedicure",Pedicure
"Women's Cut, Arm wax","Women's Haircut, Waxing"
"Root Touch Up, Gloss (clear or color)",Hair Color
"60 min Facial, Brow Wax","Skincare, Eyebrows"
"Single Process Color, NO HAIRCUT, Full Foil Only, NO HAIRCUT, Toner",Hair Color
Condition cocktail service,Hair Treatments
"Fill, SPA Pedicure",Pedicure
Shampoo and Blow Only,Sets & Styles
"Color retouch for Roots, Curling or flat iron add-on","Hair Color, Hair Treatments, Women's Haircut"
"Root and highlight retouch,trim or haircut","Hair Color, Highlights, Style, Women's Haircut"
SIGNATURE POWER GEL MANI + Removal,Manicure
Silkpress with hydration,Style
"Protein Treatment, Cornrows with no hair added",Hair Treatments
"Crochet Braids, Weave take out",Braids
Brazilian Maintenance Wax,Waxing
Cole's VIP Line-Up,Barber
"Women's Cut, Kids Haircut (Up to Age 12)",Women's Haircut
"Eyebrow Wax, Shampoo and Style, Deep Conditioning Treatment","Eyebrows, Style, Hair Treatments"
"Shampoo/Set, Color Rinse, Root Touch Up",Hair Color
"Full Foil Highlights, Toner with color, Women's Cut","Highlights, Hair Color, Women's Haircut"
"highlights, Women's Cut",Women's Haircut
Color retouch or Full Color,Hair Color
"Silk Press, Haircut, Conditioning Masque Treatment",Natural Hair
Extensions,Extensions
"Stiletto Full Set with Gel Polish, 2 Junk Nails",Manicure
"Single Color Retouch, Toner, Add On Haircut (to Color/Chemical service)",Hair Color
Freestyle Glamour Set,Manicure
"Men's Cut, Short Woman's Haircut",Men's Haircut
"Polish change, Gel Fill and Rebalance",Manicure
Beard service,"Barber, Men's Haircut"
"Brazilian wax 2 week cleanup, Arms, Full face, Brow Wax, Nose wax","Eyebrows, Waxing"
"Hard Gel Overlay, Single Color Gel w Accent Nail",Manicure
"Partial Foil Highlights, Dry Haircut",Highlights
LG Marley Twist *MidBack Length,Twists
"Full Color, Men's Cut, Women's Cut","Men's Haircut, Women's Haircut"
"Highlights, Color ~ Single Process, Trim","Highlights, Hair Color, Women's Haircut"
"1 full process, Lock Maintenance, Lock curls and rods","Hair Color, Locs"
"Trim, Flat Iron",Style
Cosmeceu.+Peel(Amazing),Skincare
(Waist Length) Small Box Braids,Braids
"Women's Cut, Partial highlight/lowlight",Women's Haircut
Clean up haircuts,Women's Haircut
"Lash Fill, Brow Wax","Eyelashes, Eyebrows"
"Blowout, Gloss","Style, Hair Color"
5D Volume Full Set,Eyelashes
"Eyebrow Shaping, Style, Styling","Eyebrows, Style, Special Occasion Style"
Knotless boxbraids  Braids,Braids
"Relaxer, Womens cut only, Edge up","Relaxers, Barber"
Eyebrow Editing (Women),Barber
She Chic (Classic) Full Set,Eyelashes
"Hot Oil Treatment, Trim, Silk Press",Natural Hair
"Root Retouch & Tone, Blowout",Style
Soft & Elegant Glam (soft),Makeup
"Partial Foil Highlights, Toner, Women's Cut, All Over Color","Highlights, Hair Color, Women's Haircut"
"iCannye Makeup Tier 2, Short Style Mold & Curl",Style
"Silk Press, Dry Scalp Treatment","Chemical Perms, Natural Hair, Sets & Styles"
"Goddess Pedicure, Eyebrow threading",Eyebrows
"Permanent Color, Semi Permanent Color",Hair Color
"Highlight ( Full Head), Olaplex treatment, Trim w/service, Color Retouch",Hair Treatments
"partial foil, Rinse, End Trim","Hair Color, Sets & Styles"
"Full Highlight, Mens Cut",Men's Haircut
"New Client Consultation, $125 Membership",Skincare
"Quick weave, demi permenant color",Weaves
Corn Rows,Braids
The FRESHMAN,Natural Hair
"Lip Wax, Color Fusion Hair Color, Women's Cut","Waxing, Women's Haircut"
Faux / Goddess Locs,Locs
Habit Hand-Tied Extension Install,Extensions
"eye lash fill, wash and style",Eyelashes
Gel toes,Pedicure
shape & shave beard,Men's Haircut
"Silk Press, Long hair charge - Past shoulders",Natural Hair
"Brazilian Wax, Dermaplane",Waxing
Cornrows (adults),"Braids, Natural Hair"
"Semi Permanent Color, Goddess/French Braids",Hair Color
"Color Retouch, Wash restwist and style",Locs
"Color-roots only, Women's Cut",Women's Haircut
Kids Braids  With Weave,Braids
"Acrylic Fill, Acrylic Nails, Spa Pedicure, Acrylic fill (toes)","Manicure, Pedicure"
"Men's Haircut and beard trim, Parts",Men's Haircut
"Lash Replenishment, Dermaplaning",Skincare
"Touch Ups, Strip Lashes","Hair Color, Eyelashes"
"Amped up Sparkle, Women's Cut",Women's Haircut
"Bikini Wax, Lip or Chin, Eyebrows",Waxing
"Crochet Braids, Conditioning Treatment",Braids
"Full Foil, Glossing, Olaplex added to color service, Toner",Hair Color
"Crochet  BRAIDS TWIST DREADS, PROTEIN TREATMENT",Hair Treatments
"2 week Fill in, Toe polish",Manicure
"Rainbow Acrylic Sets, Gel Top Coat",Manicure
"Women's Cut, Full hightlights",Women's Haircut
"""BARE MANI"" w/GEL POLISH",Manicure
"Partial Sew-In, Sew-In Removal, $20 Upcharge",Weaves
"Full Highlight, Women's Cut, Color Gloss / Toner, Color Touch-up",Women's Haircut
Classic Eyelash Fill (2-3 weeks),Eyelashes
"Full Color One Tone, Women's Cut","Hair Color, Women's Haircut"
"Babylights, Full Balayage, Women's Haircut","Highlights, Women's Haircut"
Consultation with shaping and questions/answer only,Special Occasion Style
Loc Maintenance Interlocks,Locs
"Partial Foil Highlights, Women's Cut, Additional Color with Color Service","Highlights, Women's Haircut"
"Full highlight w/ Olaplex, Women's cut",Women's Haircut
"Arcylic Fill W/2drsign, Pedicure, Nail Art","Pedicure, Manicure"
"Single process Root touch up, Bang trim",Women's Haircut
"Custom Nailz, Signature Pedicure, Acrylic Soak Off / Removal","Manicure, Pedicure"
"Color, Brazilian Blowout Split End Repairing Solution","Hair Color, Hair Treatments, Highlights, Straightening Treatments, Style"
Seniors Cut,Men's Haircut
4 layers invisible corn rows,Braids
"Free CONSULTATION, Zerona & body Vibration System, Massage",Massage
"Touch Up, Partial Highlight, Eyebrow Shaping, pH-BONDER, Women's  Cut","Eyebrows, Women's Haircut"
"Mega Volume Fill (60 Mins), Additional Time Volume Eyelash Fill",Eyelashes
"The Deva Cut, Shampoo & Style","Women's Haircut, Style"
Beard Color,Hair Color
"Partial Foil, Womens Cut",Women's Haircut
"Touchup, Partial Highlight, Haircut, Toner/Additional Color, Additional Product Charge",Hair Color
Senior Citizens (60-up) & current college students,Men's Haircut
Weave Install Take Out,Weaves
"""Root touch up""/cut",Hair Color
Royal  Fill,Eyelashes
"Root Touch up, Haircut w/Color Service, Toner",Hair Color
"lip, underarms, brazilian",Waxing
"Womens Haircut, Color, Brow Shaping",Eyebrows
2D/3D Volume Lash Refill (22-30 days),Eyelashes
Extension Maintenance,Weaves
"Full highlights + color, Women's Cut",Women's Haircut
Men’s cut (come 10 minutes early please),"Men's Haircut, Sets & Styles"
"Foil Highlight, Partial With Blow Dry, Deep Conditioning Treatment",Hair Treatments
"Kids fade,Mohawk ,ect",Barber
Goddess/Feedin Cornrowss(12-17 braids),Braids
"Relaxer, One Step Permanent Color",Relaxers
"Japanese Straightening Touch-Up, Women's Cut",Women's Haircut
Stuff Twists,Twists
"Partial foil & bd, Women's cut",Women's Haircut
Single Process Color/Haircut,Hair Color
"Shellac Manicure, Singer Island Mini spa Pedicure",Manicure
Classic mens cut,Men's Haircut
Full Head Small Box,Braids
Tribal braids smediums,Braids
"Sew in extentions, Blow-out/Silk press/ Blow-dry, Women's cut",Women's Haircut
"Spa Pedicure, No Chip Manicure",Pedicure
"Partial, Women's Cut","Highlights, Women's Haircut"
LOC REPAIR,Locs
"Extensions, Color Retouch",Extensions
"Haircut with color service or Perm, Single process color, Wax- eyebrow",Hair Color
High Def Men’s Cut + beard/mustache,Men's Haircut
Weekly clients,Style
"Nail art, Fill w/Gel Polish, Spa pedi, eye lashes",Manicure
Full Face Makeup (strip lashes),Makeup
Regular Women Brazilian Wax,Waxing
Natural hair silk press,Natural Hair
"Permanent Color Retouch, Partial Foil Highlights, Women's Hair Cut and Style",Highlights
Full Hi-Lights,Highlights
"Shellac Manicure, Shellac mani & original pedi",Manicure
"Eyelash Tinting, Brow Tint",Eyebrows
"Relaxer Retouch, Take a style down",Relaxers
"Silk Press, Single Process Retouch",Natural Hair
Repair 1 nail,Manicure
"Lining ONLY, Razoring","Men's Haircut, Barber"
"Teen Girl Haircut (ages 13 to 16), Girl's Haircut  (12 and Under), Eyebrow Wax",Eyebrows
"Flat iron, Trim",Style
"Retouch, Add on Haircut","Hair Color, Women's Haircut"
Shampoo and Go,Sets & Styles
"Root Touch Up, Blowout, Women's Trim, Women's Cut","Hair Color, Style, Women's Haircut"
Beard trim (Ca$h Preferred!),Men's Haircut
AHA Fruit Acid Peel. ( Paquete de 3 secciones ),Skincare
"Virgin Relaxer, Deposit Only/Rinses",Relaxers
"Crochet Braids, SHAMPOO, Conditioning Treatments",Braids
Full Hi Lights,Highlights
Silk Press and trim,Natural Hair
Razor edge beard and hairline edge up,Barber
"Takedown, Silk Wrap","Weaves, Sets & Styles"
"Colour re-touch, Women's Haircut",Hair Color
"Root-touch up, face framing highlights",Hair Color
Sew-In  Extensions w/ a closure,"Weaves, Women's Haircut"
"Massage Thai or Yoga, Massage: Body Wrap/Steam Therapy, Facial Peels, Facial Veggie Mask Treatment","Women's Haircut, Skincare"
"Microblade touch up, Brow Wax, Lip wax, Brazilian","Eyebrows, Waxing"
"Tranquility Signature Facial, Chin wax, upper lip wax",Waxing
"Women's Cut, Partial Highlights and/or Lowlights",Women's Haircut
"Single Process Color, Toner, Olaplex Treatment","Hair Color, Hair Treatments"
New Client Special Eyelash Full Set,Eyelashes
DESIGN,Barber
"Wash only, 4 to 5 feedin braids",Women's Haircut
"Full Color, hi lites, Glaze treatment, Women's Cut",Women's Haircut
"Nail Repair, Nail Art",Manicure
"Root touch up, Womens hair cut",Hair Color
Men's & Women's Tape/Line,Men's Haircut
"Demi, Permanent Re- Touch, Loc Retwist & Style","Hair Color, Locs"
"Tape in move up with trim, Color, Olaplex treatment",Hair Treatments
"Acrylic fill w/ GEL, CHANGE OF SHAPE, handpaint nail designs, Pedicure",Pedicure
"Cut Mid Back Length, Toner, Conditioning Treatment",Hair Color
"Single process color, Gloss/toner, Haircut with color service",Hair Color
Balayage Highlight and Haircut,"Highlights, Women's Haircut"
"27 p, Eye brows tint, Scalp treatment",Hair Treatments
"Balayage, Hair dusting",Highlights
"Color Retouch w/ highlight service, Women's Cut",Women's Haircut
"Removal of Weave, Full Head Sew-in Weave, Trim","Weaves, Style, Women's Haircut"
FADE WITH FACE TRIM,Men's Haircut
"Shellac Manicure, Shellac toes",Manicure
"Permanent Color, Toner",Hair Color
“Boy Brow” Brow Cleanup,Eyebrows
"Mo Betta Braids, Scalp Detox","Braids, Hair Treatments"
Acne facial,Skincare
"Trim, Deep conditoner, silk wraps",Manicure
Full Set Lash Intro,Eyelashes
Combcoils (Not Locing Hair),Natural Hair
"Women's Cut, One Color",Women's Haircut
Closure Sew In (Styling Extra $15 ),Weaves
"Moisture treatment, Blow-dry and Style","Natural Hair, Sets & Styles, Style"
"color and a hair cut, Women's dry cut",Women's Haircut
2 week Fill,Manicure
"Men's Cut, Haircut & beard trim",Men's Haircut
"Silk press/wrap, Trim, Olaplex treatment",Hair Treatments
"Ladies Hair Cut, Root Touch-up",Hair Color
"Full Foil Highlights, Touch Ups","Highlights, Hair Color"
"Wash & Go [ Natural Hair], Permanent Color, Deep Conditioning Treatment","Style, Hair Color, Hair Treatments"
"Natural Treatments, Women's Trim","Natural Hair, Women's Haircut"
"Microbead extension, Sew-In removal with new install",Weaves
"Sew In w/Closure, remove weave","Extensions, Natural Hair, Style, Weaves"
"Brazilian Sugaring, Leg Sugaring",Sugaring
Flat Twist Style (or braid),Twists
"Consultation, Natural Twists, Deep Conditioning Treatment","Wellness, Natural Hair, Hair Treatments"
"Partial Sew In, Takedown","Weaves, Natural Hair"
"FULL SET, Ten finger design with jewls",Extensions
1/2Individual  crochet,Braids
Full Beat,Makeup
"Loc Style  individual  Braids, Loc Maintenance  20-50","Twists, Locs"
"Relaxer, Color glaze",Relaxers
"Deep Conditioners, Women's Cut",Women's Haircut
Full Sew-In Lace Closure,Weaves
"full Hi-light, Women's Cut",Women's Haircut
"Semi Permanent Color, Deep Conditioning Treatment, Silk Press, Women's Trim","Hair Color, Hair Treatments, Natural Hair, Women's Haircut"
"Classic Fill, Brow Wax",Eyebrows
Up/Down Quickweave,Extensions
"Brazilian Blowout, Women's Shampoo Style",Straightening Treatments
"Relaxer, Semi & Demi Color Addition",Relaxers
"Partial Highlight, New Growth Color (touchup), Women's Cut",Women's Haircut
Adult Cut,Men's Haircut
"Color with Top Foil, Refill, Women's Hair Cut, Brow Wax",Eyebrows
"Acrylic Full Set w/ Gel Polish, ADD Length [add-on], Nail Art- Simple",Manicure
"Sew In, Sew in take down",Weaves
"WEAVE MAINTENANCE, ENDS TRIMMED",Weaves
"Styling, Women’s Dry Cut, Women's Trim, Women's Cut, Bang Trim","Special Occasion Style, Women's Haircut"
"Protein/strengthening Treatment, Flat Iron Straightening, Bang trim",Women's Haircut
Demi/Rinse color,Hair Color
Full Face w/Mink Lashes,Makeup
"Color Retouch, Essential Pedicure, Gel Manicure",Manicure
Natural Hair Blowout,Women's Haircut
Full sew-in w/lace closure,Weaves
"Shampoo/style (non relaxed), Tracks added, Rinse",Sets & Styles
"Base Color with Highlight and Glaze, Shadow Root/Color Melt","Hair Color, Highlights"
"Toning, Bellagio Signature Shampoo & Style",Style
Furlough Blowout,Style
"Bikini Wax, Eyebrow Tweeze/Shaping, Lash and Brow services",Waxing
"Balayage, Long haircut","Highlights, Women's Haircut"
Silver Package,"Barber, Hair Treatments, Men's Haircut"
Colored Acrylic Set,Manicure
DRAMATIC 2-3 Week Fill in,Eyelashes
scalp feeders of all kind,Braids
"Women's Trim, Babylights","Women's Haircut, Highlights"
"Full Color, Eyebrow wax",Eyebrows
"Beard Trim, Mens Clean Up","Barber, Men's Haircut"
"Shampoo/Press, Deep Conditioning Treatment.",Hair Treatments
Refreshing Facial,Skincare
"Nose Wax, Men's Back Wax, Ear Wax",Waxing
"Relaxer/Style, Semi- Permanent Color (Rinse), Trim","Relaxers, Women's Haircut"
MEGA FILL,Eyelashes
REIKI,Wellness
Fullset with design and bling,Manicure
"color touch up, eyebrow wax",Eyebrows
"Female Brazilian, Female Underarms, Female Half Legs, Female Full Arms",Sugaring
"relaxer retouch, Kid's cut (10 and under)",Relaxers
"Glaze / Toner, Women's Cut",Women's Haircut
"Crochet Braids, Shampoo and blowdry","Braids, Style"
Eyelashes w/lashes,Eyelashes
"Balayage, Root touch up, Women's Cut","Highlights, Hair Color, Women's Haircut"
"Fringe (Bang) Trim, Eyebrow Wax, Lip Wax","Eyebrows, Waxing"
Quick weave”pay with cash”,Women's Haircut
"Pre-Art Demineralizing Treatment, Glaze",Hair Treatments
"Refill Eyelash Extensions, Single Process Color",Hair Color
Mohawk + Press,Braids
Microblading and Shading,Eyebrows
"Shampoo & Curl Short Hair, ***Add-on Demi Permanent***",Hair Color
Deluxe Manicure,Manicure
"Acrylic Fillin, Polish Change",Manicure
"Gel Polish, Fill-in, Nail-art",Manicure
Feed in Cornrows/Box Braids,Braids
Microblade Eyebrows,Eyebrows
"Silk out (natural), Rinse",Sets & Styles
Hybrids fill,Eyelashes
Loc Retwist,Twists
Lace Closure / Exotic Sew-In,Weaves
"Woman's Cut, Eyebrow Wax",Eyebrows
Crochets braids,Braids
Brow  wax,Eyebrows
5 Feed-in Straight Backs,Braids
"Pedicure, CND SHELLAC MANICURE",Pedicure
"Eyebrow and Lip Special, Underarm Sugaring",Sugaring
"Partial Highlights w/ Blowdry, Women's Cut",Women's Haircut
Volume Fill: 3 week,Eyelashes
"Demi Color, Blow Out",Style
Bob Sew In,Weaves
"Half Head Fantasy color, Women's Trim",Hair Color
"Acrylic Fill (short), Designs, Eyebrow Wax, Eyelashes, Gel polish",Eyebrows
"Women's Cut, Additional Time/length/thickness","Women's Haircut, Style"
Partial hilites,Highlights
"Toner, Full Highlights, Olaplex Treatment, Women's Trim, Partial Color, Eyebrow Wax","Hair Color, Highlights, Hair Treatments, Women's Haircut, Eyebrows"
Large shoulder length box braids,Braids
Full extensions w/o closure,Weaves
Conditioner,Hair Treatments
"Relaxer, Ninja Bun, Hair color / rinse",Relaxers
"Relaxer Touch-Up, Semi/Demi Permanent Color",Relaxers
Eyelash Lift  and Tint Special,Eyelashes
"Shampoo and Flat Iron, Trim, Protein treatment",Hair Treatments
"Designer Cleanse/Cut/Style, Color Add  Ons","Sets & Styles, Hair Color"
"Fill In w/ 2 Swarovski Nails, Repair, ADD GLITTER / CHROME !",Manicure
"SEW-IN REMOVAL/SHAMPOO, SEW-IN EXTENSIONS",Weaves
Full Set /Short or Med,Manicure
"BALAYAGE/OMBRE/SOMBRE, WOMENS, REDKEN PROTIEN TREAMENT W/SERVICE",Women's Haircut
Blow out package of 5,Style
"Polish change/mini mani, Pedicure",Pedicure
"Mani/Pedi Express, Nail Art (2 nails), Acrygel  Base, Soak-Off Removal",Manicure
"Single process Color, partial foil",Hair Color
Barbered haircut & permanent hair color,Hair Color
"Womens Hair Cut, Men's Cut",Men's Haircut
"Balayage, Cut With a Color Service, Olaplex Treatment w/ Color Service",Highlights
"Acrylic Fill In w/Gel (square), Eyebrows, Pedicure","Manicure, Waxing, Pedicure"
5 Braids,Braids
"Men's haircut, Beard trim",Barber
"Shampoo and Style, Relaxer Touch Up, Women's Trim","Style, Relaxers, Women's Haircut"
"Stylish Cut, Roots,Tips,Rinse, EnviroChi Blowout",Hair Color
"No-Damage Silk Press (Shoulder Length and above), Trim (w/service)",Natural Hair
Fusion set,Eyelashes
Two Feeder Braids,Braids
"Traditional Hair Color with Haircut, Men's Cut","Hair Color, Men's Haircut"
"Semi Permanent color, Nape, Trim",Hair Color
Boujee Lash //fill\\,Eyelashes
Full Face Make-up w/ Glitter,Makeup
silk press no cut/trim,Natural Hair
"Women's Cut, Partial Hightlight, Root Touch Up","Women's Haircut, Hair Color"
"Color Retouch, Haircut & Style, Brow Wax, Lip/Chin Wax",Eyebrows
Fill- 2 weeks Hybrid,Eyelashes
Shampoo &Style (Curls Only),Style
"Balayage for medium/long hair, Olaplex in color treatment, Wet cut or trim w chemical service",Hair Treatments
"Women's Cut, All Over Color","Women's Haircut, Hair Color"
SPECIAL  Classic Full Set,Eyelashes
Long Pony Tail,Style
"Relaxer Retouch, Short cut maintenance",Relaxers
"Retouch Relaxer & Style, Flat Iron Slay, Women's Trim","Chemical Perms, Style, Women's Haircut"
"Tracking / Single Track Sew-In, Weave wash /style",Weaves
"Root touch up, Tape-in extensions w cut & style, Blow dry Only, Add on flat/curling iron",Hair Color
"Highlights, Women's Haircut",Women's Haircut
"Lace Closure Sew In, Hair Sale","Weaves, Special Occasion Style"
A New Set Synthetic Lash Extensions,Eyelashes
"Acrylic Fill 3-4 weeks, Nail repair",Manicure
Mens Haircut (Style and Specialty),Barber
"Short-medium fill w/gel polish, Nail Art, Chrome Nails (2 Nails), Toe Nail Polish Change",Manicure
"Full face make up, Shampoo and Roller Set",Makeup
Full Highlights w/o Haircut,Highlights
"CND Shellac Manicure, Spa Pedicure",Pedicure
Men's Cut (no beard),Men's Haircut
2 weeks refill for Diva,Eyelashes
"Silk Wrap, Woman's Trim, Women's Designer  Cut",Sets & Styles
$25 Tuesday RETWIST ONLY,Locs
Bob Cut/ Short Cut,Women's Haircut
JoshWalker TRENDY CUT,Barber
"Lash fill, Trim, Partial foil highlight",Eyelashes
"weave take-out, Moisturizing Marmalade, Paisley Package (specialty set)","Weaves, Hair Treatments, Sets & Styles"
"Men's Cut, Child's Cut with Style",Men's Haircut
"Root touch up, extra bowl/ toner, Women's haircut",Hair Color
Dusting/Tidy Up Cut,Women's Haircut
"Partial HL, Women's Cut, Additional Color",Women's Haircut
"gel manicure, Design","Manicure, Barber"
2-Bundles W/Closure Install 14’-16’,Weaves
Sew- In Maintenance,Weaves
Men's haircuts,Men's Haircut
Brow Contour,Eyebrows
"The Executive, The VP",Men's Haircut
Silk Press (Regulars),Natural Hair
"Partial Highlight with Retouch, Women's Cut",Women's Haircut
